x,y,z
3080994.01,1417239.12,894
3083430.37,1416550.275,822
3079290.71,1418624.20165,862
3079250.06,1418312.20535,834
3080450.17,1416592.8784,932
3079286.1950000003,1418619.7782,860
3080868.67,1416630.165,940
3081230.9982000003,1417069.3873,930
3084100.285,1416624.1949999998,838
3078057.3015,1416620.46195,826
3086293.84,1416603.075,816
3086294.38,1416614.91,818
3081088.6533,1417054.0005,932
3081085.19965,1416632.2966,920
3081168.8000499997,1417131.93355,920
3081548.13,1418115.7702000001,848
3084572.635,1416624.1400000001,846
3078135.24,1416629.07,828
3086992.63,1416635.795,836
3084317.2425499996,1416912.7053,836
3081073.0590500003,1417137.33275,918
3081341.179,1417278.5169000002,898
3086292.675,1416753.475,820
3086882.255,1416973.7325,840
3086856.02,1416973.8699,838
3079023.7350000003,1418299.61485,828
3086313.2249999996,1416753.8900000001,818
3086266.1550000003,1417057.63,822
3078603.8,1416954.7999999998,814
3079002.0700000003,1416786.665,824
3079015.35,1416759.005,826
3084448.075,1416703.6400000001,844
3084131.285,1416751.43,840
3078066.23945,1416789.79,830
3083667.885,1416780.675,830
3078953.585,1416788.02,822
3079028.4000000004,1416728.53,828
3080859.195,1416773.69,940
3084148.67,1416723.4449999998,842
3078066.2186000003,1416804.1099999999,832
3078668.5048,1416845.815,812
3080844.72765,1416724.5794000002,942
3080640.58195,1416773.78015,924
3078682.78025,1416870.875,810
3080733.5608,1417148.07545,922
3083333.5599999996,1420367.4,830
3079389.065,1417309.915,824
3080871.03355,1416755.4176,942
3080729.9049,1417168.2586,920
3079384.035,1417306.96,822
3080858.4782,1416768.0533,942
3080843.0547,1417115.685,930
3079376.7249999996,1417309.875,820
3078611.145,1416974.92905,810
3078572.74185,1416972.87,812
3086910.2350000003,1416870.1766,842
3080864.7350000003,1416796.78,942
3086026.1950000003,1416884.56,826
3078864.29,1416842.1,818
3080783.3744,1417177.6082000001,924
3079362.365,1417315.6600000001,818
3078590.86,1416962.665,808
3079333.895,1417314.9449999998,816
3081033.785,1416911.5699999998,940
3084113.755,1416956.4500000002,838
3078161.04505,1416830.61735,830
3079129.0201,1418410.9164999998,830
3078722.52425,1416854.5672,818
3078801.3036,1416861.88,818
3078137.1985,1416893.60445,834
3078214.62565,1416889.182,832
3078971.5655,1416913.8265499999,822
3079281.9,1417334.375,814
3086288.37,1417038.26,820
3082111.335,1416902.63,844
3081890.425,1416919.32,866
